Locust	#a8af8e
Log Cabin	#242a1d
Logan	#aaa9cd
Lola	#dfcfdb
London Hue	#bea6c3
Lonestar	#6d0101
Lotus	#863c3c
Loulou	#460b41
Lucky	#af9f1c
Lucky Point	#1a1a68
Lunar Green	#3c493a
Lusty	#991b07
Luxor Gold	#a7882c
Lynch	#697e9a
Mabel	#d9f7ff
Madang	#b7f0be
Madison	#9255d
Madras	#3f3002
Magnolia	#f8f4ff
Mahogany	#4e0606
Mai Tai	#b06608
Maire	#130a06
Maize	#f5d5a0
Makara	#897d6d
Mako	#444954
Malachite Green	#888d65
Malibu	#7dc8f7
Mallard	#233418
Malta	#bdb2a1
Mamba	#8e8190
Mandalay	#ad781b
Mandy	#e25465
Mandys Pink	#f2c3b2
Manhattan	#f5c999
Mantis	#74c365
Mantle	#8b9c90
Manz	#eeef78
Mardi Gras	#350036
Marigold	#b98d28
Mariner	#286acd
Marlin	#2a140e
Maroon	#420303
Marshland	#b0f08
Martini	#afa09e
Martinique	#363050
Marzipan	#f8db9d
Masala	#403b38
Mash	#40291d
Matisse	#1b659d
Matrix	#b05d54
Matterhorn	#4e3b41
Maverick	#d8c2d5
McKenzie	#af8751
Melanie	#e4c2d5
Melanzane	#300529
Melrose	#c7c1ff
Meranti	#5d1e0f
Mercury	#e5e5e5
Merino	#f6f0e6
Merlin	#413c37
Merlot	#831923
Metallic Bronze	#49371b
Metallic Copper	#71291d
Meteor	#d07d12
Meteorite	#3c1f76
Mexican Red	#a72525
Mid Grey	#5f5f6e
Midnight	#11635
Midnight Express	#741
Midnight Moss	#41004
Mikado	#2d2510
Milan	#faffa4
Milano Red	#b81104
Milk Punch	#fff6d4
Milk White	#f6f0e6
Millbrook	#594433
Mimosa	#f8fdd3
Mindaro	#e3f988
Mine Shaft	#323232
Mineral Green	#3f5d53
Ming	#36747d
Minsk	#3f307f
Mint Julep	#f1eec1
Mint Tulip	#c4f4eb
Mirage	#161928
Mischka	#d1d2dd
Mist Grey	#c4c4bc
Mobster	#7f7589
Moccaccino	#6e1d14
Mocha	#782d19
Mojo	#c04737
Mona Lisa	#ffa194
Monarch	#8b0723
Mondo	#4a3c30
Mongoose	#b5a27f
Monsoon	#8a8389
Montana	#291e30
Monte Carlo	#83d0c6
Monza	#c7031e
Moody Blue	#7f76d3
Moon Glow	#fcfeda
Moon Mist	#dcddcc
Moon Raker	#d6cef6
Moon Yellow	#fcd917
Morning Glory	#9edee0
Morocco Brown	#441d00
Mortar	#504351
Mosaic	#123447
Mosque	#36a6e
Mountain Mist	#959396
Muddy Waters	#b78e5c
Muesli	#aa8b5b
Mulberry	#5c0536
Mule Fawn	#8c472f
Mulled Wine	#4e4562
Mustard	#74640d
My Pink	#d69188
My Sin	#ffb31f
Mystic	#e2ebed
Nandor	#4b5d52
Napa	#aca494
Narvik	#edf9f1
Natural	#86560a
Nebula	#cbdbd6
Negroni	#ffe2c5
Nepal	#8eabc1
Neptune	#7cb7bb
Nero	#140600
Neutral Green	#aca586
Nevada	#646e75
New Amber	#7b3801
New Orleans	#f3d69d
New York Pink	#d7837f
Niagara	#6a189
Night Rider	#1f120f
Night Shadz	#aa375a
Nightclub	#660045
Nile Blue	#193751
Nobel	#b7b1b1
Nomad	#bab1a2
Nordic	#12731
Norway	#a8bd9f
Nugget	#c59922
Nutmeg	#81422c
Nutmeg Wood Finish	#683600
Oasis	#feefce
Observatory	#2866f
Ocean Green	#41aa78
Off Green	#e6f8f3
Off Yellow	#fef9e3
Oil	#281e15
Oiled Cedar	#7c1c05
Old Brick	#901e1e
Old Copper	#724a2f
Olive Green	#242e16
Olive Haze	#8b8470
Olivetone	#716e10
Onahau	#cdf4ff
Onion	#2f270e
Opal	#a9c6c2
Opium	#8e6f70
Oracle	#377475
Orange Roughy	#c45719
Orange White	#fefced
Orchid White	#fffdf3
Oregon	#9b4703
Orient	#15e85
Oriental Pink	#c69191
Orinoco	#f3fbd4
Oslo Grey	#878d91
Ottoman	#e9f8ed
Outer Space	#51040
Oxford Blue	#384555
Oxley	#779e86
Oyster Bay	#dafaff
Oyster Pink	#e9cecd
Paarl	#a65529
Pablo	#776f61
Pacifika	#778120
Paco	#411f10
Padua	#ade6c4
Pale Leaf	#c0d3b9
Pale Oyster	#988d77
Pale Prim	#fdfeb8
Pale Rose	#ffe1f2
Pale Sky	#6e7783
Pale Slate	#c3bfc1
Palm Green	#9230f
Palm Leaf	#19330e
Pampas	#f4f2ee
Panache	#eaf6ee
Pancho	#edcdab
Panda	#423921
Paprika	#8d0226
Paradiso	#317d82
Parchment	#f1e9d2
Paris Daisy	#fff46e
Paris M	#26056a
Paris White	#cadcd4
Parsley	#134f19
Patina	#639a8f
Pattens Blue	#def5ff
Paua	#260368
Pavlova	#d7c498
Pea Soup	#cfe5d2
Peach	#fff0db
Peach Schnapps	#ffdcd6
Peanut	#782f16
Pearl Bush	#e8e0d5
Pearl Lusta	#fcf4dc
Peat	#716b56
Pelorous	#3eabbf
Peppermint	#e3f5e1
Perano	#a9bef2
Perfume	#d0bef8
Periglacial Blue	#e1e6d6
Persian Plum	#701c1c
Persian Red	#520c17
Persimmon	#ff6b53
Peru Tan	#7f3a02
Pesto	#7c7631
Petite Orchid	#db9690
Pewter	#96a8a1
Pharlap	#a3807b
Picasso	#fff39d
Pickled Aspen	#3f4c3a
Pickled Bean	#6e4826
Pickled Bluewood	#314459
Picton Blue	#45b1e8
Pigeon Post	#afbdd9
Pine Cone	#6d5e54
Pine Glade	#c7cd90
Pine Tree	#171f04
Pink Flare	#e1c0c8
Pink Lace	#ffddf4
Pink Lady	#fff1d8
Pink Swan	#beb5b7
Piper	#c96323
Pipi	#fef4cc
Pippin	#ffe1df
Pirate Gold	#ba7f03
Pistachio	#9dc209
Pixie Green	#c0d8b6
Pizazz	#ff9000
Pizza	#c99415
Plantation	#27504b
Planter	#615d30
Plum	#410056
Pohutukawa	#8f021c
Polar	#e5f9f6
Polo Blue	#8da8cc
Pompadour	#660045
Porcelain	#eff2f3
Porsche	#eaae69
Port Gore	#251f4f
Portafino	#ffffb4
Portage	#8b9fee
Portica	#f9e663
Pot Pourri	#f5e7e2
Potters Clay	#8c5738
Powder Blue	#bcc9c2
Prairie Sand	#9a3820
Prelude	#d0c0e5
Prim	#f0e2ec
Primrose	#edea99
Promenade	#fcffe7
Provincial Pink	#fef5f1
Prussian Blue	#3153
Pueblo	#7d2c14
Puerto Rico	#3fc1aa
Pumice	#c2cac4
Pumpkin	#b1610b
Punch	#dc4333
Punga	#4d3d14
Putty	#e7cd8c
Quarter Pearl Lusta	#fffdf4
Quarter Spanish White	#f7f2e1
Quicksand	#bd978e
Quill Grey	#d6d6d1
Quincy	#623f2d
Racing Green	#c1911
Raffia	#eadab8
Rain Forest	#778120
Raincloud	#7b7c94
Rainee	#b9c8ac
Rajah	#f7b668
Rangitoto	#2e3222
